,AGE,DRIVING_EXPERIENCE,CREDIT_SCORE,VEHICLE_OWNERSHIP,MARRIED,ANNUAL_MILEAGE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME,GENDER,VEHICLE_YEAR(before 2015),VEHICLE_TYPE(sports car)
0,3,0,0.629027313918201,1.0,0.0,12.0,0,0,0,0.0,0,0,0
1,0,0,0.3577571170184627,0.0,0.0,16.0,0,0,0,1.0,1,1,0
2,0,0,0.4931457852181982,1.0,0.0,11.0,0,0,0,0.0,0,1,0
3,0,0,0.2060128507324556,1.0,0.0,11.0,0,0,0,0.0,1,1,0
4,1,1,0.3883658881572184,1.0,0.0,12.0,2,0,1,1.0,1,1,0
5,2,2,0.6191273725847388,1.0,0.0,13.0,3,0,3,0.0,0,0,0
6,3,3,0.4929435502195342,0.0,1.0,13.0,7,0,3,0.0,1,0,0
7,1,0,0.468689297434465,0.0,0.0,14.0,0,0,0,1.0,0,0,0
8,2,2,0.5218149362971065,0.0,1.0,13.0,0,0,0,0.0,0,1,0
9,2,0,0.5615310319383646,1.0,0.0,11.0,0,0,0,1.0,0,1,0
10,3,3,0.6203612640126029,1.0,1.0,10.0,6,2,7,0.0,1,0,0
11,3,3,0.7298308815593941,1.0,1.0,12.0,4,0,0,0.0,0,0,0
12,2,2,0.6370447435902447,1.0,1.0,8.0,4,1,2,0.0,1,1,0
13,0,0,0.59125997174597,1.0,0.0,11.697003206900366,0,0,0,0.0,0,1,0
14,1,1,0.4615679630439447,1.0,1.0,12.0,0,2,1,0.0,1,1,0
15,1,0,0.7627979410816134,0.0,1.0,11.697003206900366,0,0,0,0.0,0,0,0
16,3,3,0.7961748462456987,1.0,1.0,11.697003206900366,10,2,1,0.0,1,1,0
17,0,0,0.5158128096027941,0.0,1.0,12.0,0,0,0,1.0,1,1,0
18,1,0,0.6805942795073384,1.0,0.0,11.697003206900366,0,0,0,1.0,0,1,0
19,0,0,0.4177139816231188,1.0,0.0,18.0,0,0,0,1.0,0,1,0
20,0,0,0.4095135306516067,0.0,0.0,17.0,0,0,0,1.0,0,1,0
21,0,0,0.5532600531952381,1.0,1.0,8.0,0,0,0,1.0,1,0,0
22,2,2,0.3309502618581893,1.0,1.0,13.0,3,1,1,0.0,1,1,0
23,0,0,0.5158128096027941,0.0,0.0,17.0,0,0,0,0.0,1,1,0
24,3,3,0.5006306604427161,1.0,1.0,7.0,13,2,3,0.0,1,1,0
25,1,1,0.5519701813636283,1.0,1.0,14.0,0,0,0,0.0,0,1,1
26,2,1,0.6269960497386653,1.0,0.0,13.0,1,1,0,0.0,1,1,0
27,1,1,0.2947974807719967,1.0,1.0,15.0,0,0,1,0.0,1,1,0
28,1,1,0.5519504952618395,0.0,0.0,17.0,0,0,1,0.0,1,0,0
29,3,0,0.649820471216227,1.0,1.0,9.0,0,0,0,1.0,1,0,0
30,2,2,0.5218044346397632,1.0,1.0,7.0,2,0,1,0.0,1,0,0
31,3,3,0.7012683240604196,1.0,1.0,10.0,3,1,1,0.0,0,1,0
32,0,0,0.1712440288213211,1.0,1.0,9.0,0,0,0,0.0,1,1,0
33,0,0,0.3184419972124171,1.0,0.0,10.0,0,0,0,1.0,1,1,0
34,1,0,0.6046842696715551,1.0,1.0,11.0,0,0,0,1.0,0,1,0
35,0,0,0.5049948526440377,0.0,0.0,8.0,0,0,0,1.0,1,0,0
36,1,1,0.6251466352816216,1.0,0.0,17.0,3,0,2,0.0,1,1,0
37,2,1,0.5158128096027941,1.0,1.0,11.0,2,0,1,0.0,0,1,0
38,3,3,0.5158128096027941,0.0,0.0,12.0,6,0,5,0.0,1,0,1
39,2,1,0.5781305873212035,1.0,0.0,14.0,1,0,1,0.0,1,1,0
40,3,3,0.7054542902137054,1.0,1.0,10.0,5,1,3,0.0,1,1,0
41,2,2,0.6595254905875941,1.0,0.0,16.0,4,0,2,0.0,1,0,0
